iter	Passed	Remaining
1206	4213	2768
1207	4216	2764
1208	4218	2760
1209	4221	2756
1210	4224	2752
1211	4226	2748
1212	4229	2744
1213	4232	2740
1214	4234	2735
1215	4237	2731
1216	4239	2727
1217	4243	2724
1218	4245	2720
1219	4248	2716
1220	4251	2712
1221	4254	2708
1222	4257	2704
1223	4259	2700
1224	4262	2696
1225	4264	2692
1226	4267	2688
1227	4270	2684
1228	4273	2680
1229	4275	2676
1230	4278	2672
1231	4281	2668
1232	4283	2664
1233	4286	2660
1234	4289	2656
1235	4291	2652
1236	4294	2649
1237	4297	2645
1238	4300	2641
1239	4303	2637
1240	4306	2633
1241	4309	2629
1242	4311	2625
1243	4314	2622
1244	4317	2618
1245	4319	2614
1246	4322	2610
1247	4325	2606
1248	4327	2602
1249	4330	2598
1250	4333	2594
1251	4337	2591
1252	4340	2587
1253	4343	2584
1254	4347	2580
1255	4349	2576
1256	4352	2572
1257	4355	2568
1258	4358	2565
1259	4361	2561
1260	4364	2557
1261	4367	2554
1262	4370	2550
1263	4373	2546
1264	4375	2542
1265	4378	2538
1266	4381	2534
1267	4383	2530
1268	4386	2526
1269	4389	2522
1270	4391	2518
1271	4394	2515
1272	4397	2511
1273	4399	2507
1274	4402	2503
1275	4405	2499
1276	4407	2495
1277	4410	2491
1278	4413	2487
1279	4416	2484
1280	4418	2480
1281	4421	2476
1282	4424	2472
1283	4426	2468
1284	4429	2464
1285	4432	2460
1286	4434	2456
1287	4437	2453
1288	4440	2449
1289	4443	2445
1290	4445	2441
1291	4448	2437
1292	4450	2433
1293	4453	2429
1294	4455	2425
1295	4458	2422
1296	4461	2418
1297	4464	2414
1298	4467	2410
1299	4469	2406
1300	4472	2402
1301	4475	2399
1302	4479	2396
1303	4481	2392
1304	4484	2388
1305	4487	2384
1306	4490	2380
1307	4492	2376
1308	4495	2373
1309	4497	2369
1310	4500	2365
1311	4503	2361
1312	4506	2357
1313	4509	2354
1314	4512	2350
1315	4514	2346
1316	4517	2342
1317	4519	2338
1318	4522	2335
1319	4526	2331
1320	4529	2328
1321	4532	2324
1322	4535	2320
1323	4538	2317
1324	4541	2313
1325	4544	2309
1326	4546	2305
1327	4549	2302
1328	4552	2298
1329	4555	2294
1330	4558	2291
1331	4560	2287
1332	4563	2283
1333	4566	2279
1334	4569	2276
1335	4572	2272
1336	4575	2268
1337	4577	2264
1338	4580	2261
1339	4583	2257
1340	4585	2253
1341	4588	2249
1342	4591	2245
1343	4593	2242
1344	4596	2238
1345	4598	2234
1346	4601	2230
1347	4604	2227
1348	4606	2223
1349	4609	2219
1350	4612	2215
1351	4614	2211
1352	4617	2208
1353	4620	2204
1354	4622	2200
1355	4625	2196
1356	4627	2192
1357	4630	2189
1358	4633	2185
1359	4635	2181
1360	4638	2177
1361	4641	2174
1362	4643	2170
1363	4646	2166
1364	4648	2162
1365	4652	2159
1366	4655	2155
1367	4657	2151
1368	4660	2148
1369	4663	2144
1370	4666	2140
1371	4669	2137
1372	4672	2133
1373	4674	2129
1374	4677	2126
1375	4680	2122
1376	4683	2118
1377	4686	2115
1378	4689	2111
1379	4691	2107
1380	4694	2104
1381	4697	2100
1382	4701	2097
1383	4704	2093
1384	4706	2090
1385	4709	2086
1386	4713	2082
1387	4716	2079
1388	4718	2075
1389	4721	2072
1390	4724	2068
1391	4726	2064
1392	4729	2061
1393	4732	2057
1394	4735	2053
1395	4737	2049
1396	4740	2046
1397	4743	2042
1398	4746	2038
1399	4749	2035
1400	4751	2031
1401	4754	2027
1402	4757	2024
1403	4760	2020
1404	4762	2017
1405	4765	2013
1406	4768	2009
1407	4771	2006
1408	4773	2002
1409	4776	1998
1410	4779	1995
1411	4781	1991
1412	4784	1987
1413	4787	1984
1414	4790	1980
1415	4793	1976
1416	4796	1973
1417	4798	1969
1418	4801	1965
1419	4804	1962
1420	4806	1958
1421	4809	1954
1422	4812	1951
1423	4814	1947
1424	4817	1943
1425	4820	1940
1426	4822	1936
1427	4825	1932
1428	4828	1929
1429	4831	1925
1430	4834	1922
1431	4836	1918
1432	4839	1914
1433	4842	1911
1434	4845	1907
1435	4847	1903
1436	4850	1900
1437	4853	1896
1438	4855	1893
1439	4858	1889
1440	4862	1886
1441	4865	1882
1442	4868	1879
1443	4871	1875
1444	4874	1872
1445	4878	1868
1446	4880	1865
1447	4883	1861
1448	4886	1858
1449	4890	1854
1450	4892	1851
1451	4895	1847
1452	4898	1843
1453	4900	1840
1454	4903	1836
1455	4906	1833
1456	4908	1829
1457	4911	1825
1458	4914	1822
1459	4916	1818
1460	4919	1815
1461	4922	1811
1462	4925	1807
1463	4927	1804
1464	4930	1800
1465	4932	1796
1466	4935	1793
1467	4938	1789
1468	4940	1786
1469	4943	1782
1470	4946	1778
1471	4949	1775
1472	4952	1771
1473	4955	1768
1474	4958	1764
1475	4961	1761
1476	4964	1757
1477	4967	1754
1478	4970	1750
1479	4973	1747
1480	4976	1743
1481	4979	1740
1482	4982	1737
1483	4985	1733
1484	4988	1730
1485	4991	1726
1486	4994	1722
1487	4996	1719
1488	4999	1715
1489	5002	1712
1490	5004	1708
1491	5007	1704
1492	5010	1701
1493	5013	1697
1494	5016	1694
1495	5019	1690
1496	5021	1687
1497	5024	1683
1498	5027	1680
1499	5029	1676
1500	5032	1672
1501	5034	1669
1502	5037	1665
1503	5040	1662
1504	5043	1658
1505	5046	1655
1506	5049	1652
1507	5069	1653
1508	5072	1650
1509	5076	1647
1510	5079	1644
1511	5083	1640
1512	5086	1637
1513	5088	1633
1514	5091	1629
1515	5093	1626
1516	5096	1622
1517	5099	1619
1518	5101	1615
1519	5104	1611
1520	5107	1608
1521	5109	1604
1522	5112	1601
1523	5115	1597
1524	5118	1594
1525	5120	1590
1526	5123	1586
1527	5125	1583
1528	5128	1579
1529	5131	1576
1530	5134	1572
1531	5136	1569
1532	5139	1565
1533	5141	1561
1534	5144	1558
1535	5147	1554
1536	5149	1551
1537	5152	1547
1538	5155	1544
1539	5157	1540
1540	5160	1537
1541	5163	1533
1542	5166	1530
1543	5168	1526
1544	5171	1522
1545	5173	1519
1546	5176	1515
1547	5179	1512
1548	5182	1508
1549	5184	1505
1550	5187	1501
1551	5191	1498
1552	5194	1495
1553	5196	1491
1554	5199	1487
1555	5202	1484
1556	5204	1480
1557	5207	1477
1558	5210	1473
1559	5212	1470
1560	5215	1466
1561	5218	1463
1562	5221	1459
1563	5224	1456
1564	5228	1453
1565	5231	1449
1566	5234	1446
1567	5237	1442
1568	5240	1439
1569	5243	1436
1570	5246	1432
1571	5249	1429
1572	5252	1425
1573	5255	1422
1574	5258	1418
1575	5261	1415
1576	5263	1411
1577	5266	1408
1578	5268	1404
1579	5271	1401
1580	5274	1397
1581	5276	1394
1582	5279	1390
1583	5282	1387
1584	5284	1383
1585	5287	1380
1586	5290	1376
1587	5293	1373
1588	5295	1369
1589	5298	1366
1590	5301	1362
1591	5304	1359
1592	5306	1355
1593	5309	1352
1594	5311	1348
1595	5314	1345
1596	5316	1341
1597	5319	1338
1598	5322	1334
1599	5325	1331
1600	5327	1327
1601	5330	1324
1602	5332	1320
1603	5335	1317
1604	5338	1313
1605	5341	1310
1606	5343	1306
1607	5346	1303
1608	5348	1299
1609	5352	1296
1610	5354	1293
1611	5357	1289
1612	5360	1286
1613	5362	1282
1614	5365	1279
1615	5368	1275
1616	5372	1272
1617	5375	1269
1618	5377	1265
1619	5380	1262
1620	5383	1258
1621	5386	1255
1622	5388	1251
1623	5391	1248
1624	5394	1244
1625	5397	1241
